aaron	Ааронов
ambulance	неотложка
ambush	засада
ameliorate	улучшать,улучшаться,улучшить
amelioration	улучшение
amenability	ответственность
amend	улучшать,улучшить
amendment	исправление,корректив,поправка
america	америка
american	американец,американский
americanism	американизм
americanize	американизировать
americanized	американизированный
amethyst	аметист,аметистовый
amiable	любезный
amicability	дружелюбие
amicable	дружелюбный,дружественный,дружный,полюбовный,приятельский
amicably	дружно,полюбовно
amid	средь
amidst	среди
amity	дружба
ammeter	амперметр
ammonal	аммонал
ammonia	аммиак
ammoniac	аммиачный
ammonium	аммоний
ammunition	боезапас,боеприпас,боеприпасы,огнеприпасы,снарядный
amnesty	амнистировать,амнистия
amoeba	амёба
among	промеж,среди,средь
amongst	среди
amoral	аморальный
amorality	аморальность
amorous	влюблённый,влюбчивый,любовный
amorously	влюблённо
amorousness	влюбчивость
amorphous	аморфный
amortization	амортизационный,амортизация,изнашиваемость
amortize	амортизировать
amount	дойти,доходить,исчисляться,количество,равняться
ampere	ампер
amperemeter	амперметр
amphibia	земноводный
amphibian	амфибия
amphibrach	амфибрахий
amphitheatre	амфитеатр
amphora	амфора
amplification	амплификация,усиление
amplifier	усилитель
amplify	дополнить,дополнять,усиливать,усилить
amplifying	усилительный
amplitude	амплитуда
ampoule	ампула
amputate	ампутировать,отнять
amputation	ампутация
amulet	амулет,ладанка
amuse	веселить,забавлять,повеселить,развлекать,развлечь
amusement	забава,развлекательность,развлечение,увеселение,удовольствие
amusing	забавный,занимательный,занятный,потешный,смешной
amusingly	забавно
anabiosis	анабиоз
anabolism	анаболизм
anachronism	анахронизм
anachronistic	анахронический,анахроничный
anaconda	анаконда
anacreontic	анакреонтический
anaemia	анемия,малокровие
anaemic	анемический,анемичный,бескровный,малокровный,обескровленный
anaesthesia	анестезия,наркоз
anaesthesiologist	анестезиолог
anaesthesiology	анестезиология
anaesthetic	анестезиологический,анестезирующий,наркоз,обезболивающий
anaesthetist	анестезиолог
anaesthetization	обезболивание
anaesthetize	анестезировать,замораживать,заморозить,наркотизировать,обезболивать
anagram	анаграмма
anal	анальный
analogic	аналогический
analogous	аналогичный
analogue	аналог
analogy	аналогия
analyse	анализировать,проанализировать,разбирать,разобрать
analyser	анализатор
analysis	анализ,исследование,разбор
analyst	аналитик
analytic	аналитический
anamnesis	анамнез
anapaest	анапест
anaphora	анафора
anarchic	анархический,анархичный
anarchism	анархизм
anarchist	анархист,анархистка
anarchy	анархия,безвластие,безначалие
anathema	анафема
anatomic	анатомический
anatomist	анатом
anatomize	анатомировать
anatomy	анатомирование,анатомия
ancestor	пращур,предок,родоначальник
ancestors	прадед
ancestral	родовой
anchor	анкер,закрепить,закреплять,якорный,якорь
anchoress	затворница
anchoret	анахорет,затворник,отшельник,пустынник
anchoretic	отшельнический
anchorite	анахорет,затворник,отшельник,пустынник
anchovy	анчоус
ancient	античный,вековой,давний,древний,старинный
and	же,причём
andante	анданте
anecdotal	анекдотический
anecdote	анекдот,историйка
anemograph	анемограф
anemometer	анемометр,ветромер
anemone	анемон,ветреница
aneroid	анероид
aneurism	аневризма
aneurysm	аневризма
anew	вновь,наново,сызнова
angel	ангел
angelic	ангельский
angelica	дягиль
anger	гнев,злить,злоба,прогневать,разгневать
angiosperms	покрытосемянный
